hub,n_destinations_in_file2,destinations,n_bullets_aggregated,top_specs,sample_desc_1_dest,sample_desc_1_text,sample_desc_2_dest,sample_desc_2_text,sample_desc_3_dest,sample_desc_3_text
Combat Chien,3,Budapest | Cracovie | Prague,22,"Tenue de protection pour le marié || Un berger allemand et deux instructeurs professionnels || Une guide locale pour vous accompagner || A/R en minibus privatisé || Durée de l'activité : 30 - 45 minutes || Durée totale : 2-2,5 heures || Seulement le marié fait l'activité, le reste du groupe est spectateur || 1 heure d'activité environ || UNIQUEMENT POUR LE MARIE || 1 berger allemand dressé par le centre",Budapest,"Faites vivre une attaque de chien au futur marié lors de son EVG à Budapest avec le Man vs Dog, il s'en souviendra toute sa vie ! Qu'est ce que l'activité Man vs Dog pendant un enterrement de vie de garçon à Budapest ? C'est une activité qui consiste à faire combattre dans un ring le futur marié avec un chien digne des meilleurs combattant UFC... Non, on plaisante ! C'est beaucoup moins violent que cela, mais c'est surtout beaucoup plus drôle... Quoi que ça dépend pour qui. Votre ami le futur marié devra courir le plus longtemps et le plus loin possible avant de se faire attraper par notre chi",Cracovie,"Offrez au futur marié la plus grosse peur de sa vie lors de son enterrement de vie de garçon avec le Man vs Dog à Cracovie. Bien protégé dans une tenue spéciale qui résiste aux morsures , le marié devra tenir le choc face à notre berger Allemand fan de free fight ! A peine le temps de vous retourner pour courir qu'il va lui sauter dessus.... Et vous n'êtes pas prêts pour la force du chien... Rassurez-vous deux dresseurs professionnels seront bien sûr présents pour encadrer l'activité , expliquer les consignes de sécurité et s'assurer que tout se passe correctement. La guide et le minibus privé",Prague,"Le Man vs Dog va faire descendre le futur marié de son piédestal, croyez-nous ! Si votre ami n'est pas fan des chiens, alors le Man vs Dog est l'activité qu'il vous faut pour le faire flipper un bon coup lors de son enterrement de vie de garçon à Prague. Mais rassurez-vous le Man vs Dog n'est pas une activité dangereuse. Bien protégé dans une tenue spéciale qui résiste aux morsures, le marié devra tenir le choc face à notre berger allemand fan de free fight ! Cette activité ne présente pas de risques particuliers : le chien est parfaitement dressé et le marié totalement protégé de la tête aux "
Conduite Char D Assaut,6,Berlin | Bratislava | Budapest | Prague | Varsovie | Vilnius,146,Transfert A/R en minibus privatisé || Présence de votre guide locale anglophone || L'activité a lieu dans un ancien espace militaire || Activité disponible le week-end (disponible en semaine avec supplément) || Présence d'un instructeur local || Le terrain est situé à environ 1 heure du centre-ville || Instructeur local || 1 guide locale anglophone || L'activité a une durée totale d'environ 4 heures || Visite du musée militaire,Bratislava,"Let's try Tank Smash Premium ! Certains groupes d'EVG partent faire une chasse au trésor à Mulhouse, d'autres optent pour des activités totalement déjantées pour marquer le coup. Si vous êtes de ce dernier genre de groupes, Dieu vous bénisse. A Bratislava, vous pouvez non seulement effectuer une Balade en blindé mais vous pouvez également vous offrir le kiffe ultime en ""défonçant"" une voiture avec le blindé. Vous n'allez pas tirer dessus comme dans GTA mais vous allez tout de même l' écraser en roulant dessus et ça... C'est du lourd ! Après avoir vigoureusement roulé sur la voiture à l'aide du",Budapest,"Voilà une activité vraiment unique à faire, on vous propose une conduite de tank pour votre EVG à Budapest ! Un enterrement de vie de garçon à Budapest se doit d'être créatif et complètement dingue. Imaginez le kiff et les sensations d'être aux commandes d'une machine de guerre. Vous aurez la possibilité de découvrir cet effet durant 15 minutes chacun, en petit bonus, à la fin de l'activité, une tournée de bières vous sera offerte. Un instructeur de l'armée vous donnera les consignes de sécurité et vous encadrera. Possibilité d'essayer 3 chars différents (GSP 55, BMP-1, MTLBU) suivant la taill",Budapest,"Exploser une voiture avec un tank, c'est possible avec le Tank Smash ! A ne pas manquer pour votre enterrement de vie de garçon à Budapest ! Bon, vous ne tirerez pas avec le tank mais il sera possible pour le futur marié de s'installer juste à côté de l'instructeur qui conduira le tank sur plusieurs tours de pistes histoire de lui apporter quelques sensations ! Le Tank Smash est l'activité de bourrins par excellence pour ceux qui veulent faire de leur EVG à Budapest un événement sans précédent. Quand on aime on ne compte pas, alors pourquoi ne pas l'offrir au futur marié ? Et pour les groupes "
Conduite Ferrari,2,Barcelone | Milan,35,Cours de pilotage dispensé par des pilotes professionnels || 1 tour d'expérience sur une voiture pour découvrir la piste avec un pilote de course qualifié || Vidéo || Carburant inclus || Assurance voiture incluse || Permis de conduire obligatoire! Merci de le ramener avec vous le jour J || Tour de la ville en Ferrari pour le marié || 20 minutes en tant que conducteur || Un instructeur en tant que co-pilote || Une photo pour immortaliser ce moment inoubliable,Barcelone,"Le futur marié est fan de bolide et vous cherchez une activité qui lui fera vraiment plaisir pendant son enterrement de vie de garçon à Barcelone ? Dans ce cas, faites lui faire la Conduite de Ferrari ! Et pas n'importe laquelle, la F430 F1 ! Un véritable chef d'œuvre, une vraie œuvre d'art... Votre ami va se souvenir toute sa vie de son EVG à bord de cette merveille de Ferrari. Grâce à vous, durant son EVG à Barcelone, il va vivre des sensations intenses et goûter aux joies de la vitesse. BON À SAVOIR : Le permis de conduire est nécessaire pour l'activité Conduite de Ferrari, et bien évidemme",Milan,"Attention : cette activité est destinée à des personnes ayant déjà une expérience préalable sur circuit. Offrez au marié une expérience inoubliable lors de son enterrement de vie de garçon à Milan avec la conduite d'une Ferrari 458 Italia! Plongez dans le monde de la course automobile avec un cours de pilotage dispensé par des pilotes professionnels chevronnés. L'activité comprend un tour d'expérience sur une voiture auxiliaire, permettant au futur marié de découvrir la piste avec un pilote de course qualifié. Le marié aura ensuite l'occasion de conduire la Ferrari lors de 3 tours inoubliables",Milan,Vivez une journée exceptionnelle en offrant au marié une expérience de conduite unique avec une Formula 4 une Ferrari 458 Italia! Le marié est un grand fan de vitesse ? Aurait-il aimé être un pilote comme Hamilton ? Aidez-le à se rapprocher de son rêve en lui faisant conduire de véritables bolides italiens ! Faites profiter au marié l'expérience de conduite de 3 tours avec la puissante Ferrari 458 Italia. Ensuite faites-lui prendre le contrôle de la piste avec 10 tours ou 20 minutes de conduite avec une Formula 4. BON À SAVOIR: Un permis de conduire est obligatoire. Assurez-vous de le ramener 
Parcours du Combattant,1,Lyon,4,2h d'accès aux 2 parcours du combattant || Présence d'un instructeur encadrant || A partir de 14 personnes : le suivi photos complet (200/300 photos) || Min 8 personnes,Lyon,"A 25 minutes du centre de Lyon, venez vivre un moment inoubliable sur les 2 parcours du combattant où vous devrez franchir seul ou en équipe une quarantaine d'obstacles réparties sur un terrain de 6 hectares. 2h d'activités accessibles à tous, sportifs et moins sportifs, où le dépassement de soi et l'entraide seront au cœur de l'activité lors de votre Crazy-EVG ! Si vous voulez avoir encore plus mal aux cuisses le lendemain, le Boot Camp est fait pour vous ! BON A SAVOIR : Une voiture est nécessaire pour se rendre à l'activité.",,,,
Initiation Tir Shooting,9,Amsterdam | Berlin | Bratislava | Bucarest | Budapest | Cracovie | Prague | Varsovie | Vilnius,196,"Présence de votre guide locale anglophone || Transfert A/R en minibus privatisé || Cours avec un instructeur || Instructeur local || Assistance de votre guide locale anglophone || Initiation au tir à l'arme à feu || Instructeur professionnel || 25 balles par personne || Pas disponible le dimanche || Selon la nouvelle loi sur le tir en République tchèque à compter du 1.1.2026, il est nécessaire de disposer des noms et des pièces d’identité de tout tireur qui ne réside pas en République tchèque",Amsterdam,"Shooting Photo Quartier Rouge: À tous les groupes ouverts d'esprit, voici une activité que vous ABSOLUMENT faire lors de votre EVG à Amsterdam. Vous prenez part à un shooting photo dans le quartier rouge, mais pas un simple shooting photo où le but est de faire le BG. Ici, vous serez habillés avec des costumes sexy, des costumes fun, en drag queen et avec des accessoires en tout genre. Nos équipes partenaires vous accueilleront avec le plus grand plaisir, ils vous mettront dans l'ambiance afin que vous soyez trèèèèèèèès à l'aise. Les vitrines du quartier seront les édifices devant lesquels vou",Bratislava,"L'enterrement de vie de garçon de votre pote c'est l'occasion de venir tester la mythique AK47 Kalashnikov mais aussi du Stribog et un pistolet 9mm!!! Le tout avec 55 balles par personne. En bonus, une tournée de bières vous est offerte. La guide vous récupère à votre hébergement ou directement en centre-ville (selon votre planning) et vous accompagne en minibus privatisé. Un instructeur qualifié vous apprendra à viser et tirer avec précision. À la fin du shooting, vous pourrez repartir avec vos cibles comme souvenir et charrier ceux qui les auront toutes mises à côté. BON SAVOIR : S'il s'agit",Bratislava,"Une initiation au tir par un ancien instructeur de l'armée avec en exclu la mythique Kalashnikov : Choisissez l'activité Shooting 2 armes (AK-47) à Bratislava ! La guide vous récupère à votre hébergement ou directement en centre-ville (selon votre planning) et vous accompagne aux stands de tir, en minibus privatisé. Vous y testerez le mythique AK-47 Kalashnikov et le Pistolet 9mm. Un instructeur qualifié vous apprendra à viser et tirer avec précision. Respectez bien ses consignes, il est là pour vous apprendre à manier l'arme correctement, et éviter les blessures ! Le retour se fait également "
Kidnapping,6,Amsterdam | Bratislava | Bucarest | Budapest | Cracovie | Prague,43,"Fausse Arrestation par deux acteurs qui jouent le rôle de policiers locaux || Arrestation dans la rue || Futur marié placé les yeux bandés dans la voiture des policiers || 1 guide locale anglophone pour veiller à la bonne tournure de l'activité || Fausse Arrestation du marié par un acteur déguisé en policier || Le reste du groupe sera au courant et devra jouer le jeu pour plus de crédibilité || Dans un bar du centre d'Amsterdam || Striptease en fin d'activité de la fausse policière || ""Fausse"" arrestation du marié || 1 ou 2 acteurs déguisés en policier pour effectuer l'activité",Amsterdam,"Optez pour la Fausse Arrestation lors de votre enterrement de vie de garçon à Amsterdam pour que le futur marié ait la peur de sa vie. A l'instar du Combat Sexy , la Fausse Arrestation maltraite un peu le futur marié... Pour votre plus grand plaisir ! Pour que la Fausse Arrestation soit parfaite et fonctionne il faudra que tout le groupe y mette du sien et soit convaincant. Plusieurs scénarios au choix sont possibles : La Fausse Arrestation peut se faire dans un bar / restaurant durant la soirée. Généralement l'établissement complice invoque une histoire de facture bien salée (que vous refuser",Bratislava,"La guide rencontrera le groupe dans le centre-ville et les emmènera dans un pub, après un certain temps un serveur viendra avec des faux policiers, invoquant diverses raisons telles que : Il apporte une addition énorme. Le marié refuse alors de la payer et le serveur décide donc d'appeler la police. Le groupe est beaucoup trop bruyant Le serveur indique que le groupe a payé avec des faux billets Etc.... Dans tous les cas, l'activité Fausse Arrestation se termine de la même façon. Un ou plusieurs faux policiers arrivent dans le pub, arrête le futur marié et le force à s'asseoir sur une chaise a",Bucarest,"Faites flipper le futur marié avec une Fausse Arrestation qui finir de la meilleure des façons pour sa soirée d'enterrement de vie de garçon à Bucarest ! La guide vous retrouve dans le centre-ville de Bucarest ou directement à votre hébergement. Scénario ""secret"" : Vous serez briefés par nos équipes pour que le marié ne se doute de rien. Un seul impératif : ne pas rigoler avant ""la chute"" ! Deux possibilités de scénario s'offriront à vous : - Vous vous serez assurés que le marié n'aura pas ses papiers sur lui au moment de l'activité, ce qui provoquera son ""arrestation"" et son transfert au comm"
Beer Bike,7,Amsterdam | Barcelone | Berlin | Bruxelles | Lisbonne | Lyon | Porto,59,"Un chauffeur qui reste sobre pour conduire || Une visite de la ville sur un engin incroyable || Un conducteur sobre pour guider le vélo || 2 beerbike disponibles || Possibilité de brancher sa musique || 1h15 de location du Beer Bike || 20 litres de bières inclus pendant la balade (ou 12 bouteilles de Prosecco) || 6 personnes minimum, 16 personnes maximum || Attention: l'activité n'a pas lieu dans le centre ville || Transfert A/R en mini bus privatisé (RDV Las Ramblas)",Amsterdam,"Le Beer Bike à Amsterdam est un véhicule spécial qui mélange fun, visite guidée, bière et effort sportif... Le Beer Bike vous permet de consommer 20 litres de bières dans les rues d'Amsterdam dans le plus grand des calmes, tranquillement assis sur vos sièges avec la musique. Bon, il y a quand même un bémol pour les plus flemmards qui se voyaient chiller pendant 1h30... Car oui il faut quand même pédaler un peu pour que le ""vélo"" avance ! En effet sur le Beer Bike vous êtes assis sur des selles de vélo les uns en face des autres et devrez pédaler un minimum pour ne pas vous retrouver au point m",Barcelone,"Le Beer Bike est un véhicule spécial qui mélange fun, bière et effort sportif... car oui, il faut quand même pédaler un peu pour que le vélo avance. Nous vous proposons une activité d'une heure, où vous pourrez profiter d'un litre de bière par personne, avec de la musique, une ambiance unique... et surtout une bonne dose de plaisir ! Même le plus timide de vos amis profitera à fond de ce moment, grâce à notre conducteur qui dirige le vélo et reste sobre, vous assurant de rendre cette expérience mémorable. C'est l'activité parfaite pour faire une transition vers une bonne Tournée des bars + Boî",Berlin,"Découvrez la ville de la plus fun des manières... avec un Beer Bike à Berlin ! Le Beer Bike à Berlin est un véhicule spécial qui mélange fun, visite guidée, bière et effort sportif... car oui il faut quand même pédaler un peu pour que le ""vélo"" avance ! Notre chauffeur reste sobre (soyez rassurés) et tient seul le guidon du véhicule. Pendant ce temps là vous pédalez... mais avez la possibilité de boire de la bière grâce à l'énorme fût central du véhicule. Car sur le Beer Bike à Berlin - comme son nom l'indique - il y a de la bière, 1 litre par personne sont inclus pour votre groupe. Le point d"
Tournee Bars,18,Albufeira | Amsterdam | Berlin | Bruxelles | Bucarest | Budapest | Cracovie | Ibiza | Lisbonne | Lyon | Madrid | Malte | Marbella | Paris | Porto | Prague | Rome | Varsovie,219,Guide locale || Tournée des bars publique || Entrée en boîte || Disponible tous les jours || Visite de 3 bars || Guides anglophones || Entrée en club || Tournée des bars || Une tournée des bars à travers les rues du vieux centre || Visite de 4 bars,Amsterdam,"Rien de mieux qu'une Tournée des bars dans le Quartier Rouge pour s'imprégner totalement de la nightlife d'Amsterdam lors de votre enterrement de vie de garçon ! Nous vous donnons rendez-vous en plein cœur du Red Light District pour une soirée hollandaise que vous n'êtes pas près d'oublier. Vous commencez dans le premier bar de votre tournée. Sur place, vous profiterez de shots de vodka à volonté pendant une demi-heure. De quoi bien vous chauffer ! Une fois votre session de shots à volonté terminée, c'est parti pour enchaîner avec le second bar. Au total, vous parcourrez 5 bars différents et p",Amsterdam,"La Tournée des bars à Leidseplein est la meilleure façon de découvrir le quartier de Leidseplein lors de votre enterrement de vie de garçon à Amsterdam ! Vous avez rendez-vous avec notre guide aux alentours de 20h00 pour débuter votre tournée des bars. Après ça, c'est parti pour continuer votre conquête des rues du quartier. Durant 3 à 4 heures, vous parcourrez au total 5 bars et pourrez profiter de 5 verres au choix entre bière, vin et boisson soft pour ne jamais vous déshydrater pendant l'activité. A la fin de la tournée, votre guide vous accompagne en club et reste avec vous quelques minute",Amsterdam,"La Tournée des bars est l'activité phare d'une soirée d'enterrement de vie de garçon, à ne pas manquer pendant votre weekend sur Amsterdam ! Notre guide locale vous retrouve dans un quartier central d'Amsterdam et vous propose de découvrir les meilleurs bars de la ville pour une durée totale de 3 heures. La guide s'adapte à vos goûts et vos envies. Elle vous fait découvrir les endroits qui sont susceptibles de vous plaire en fonction de vos préférences musicales. Tout se fait à pied, dans l'un des quartiers animés de la ville. C'est LE meilleur moyen de découvrir la night life d'Amsterdam sans"
Boite Bouteilles,25,Albufeira | Amsterdam | Barcelone | Berlin | Bordeaux | Bratislava | Bruxelles | Bucarest | Budapest | Cracovie | Deauville | Ibiza | Lisbonne | Lyon | Madrid | Majorque | Malte | Marbella | Milan | Montpellier | Paris | Porto | Prague | Rome | Vilnius,303,Softs || Table pour le groupe || Entrée en club || Entrée en boîte || Table réservée pour le groupe || Softs inclus || Guide locale pour vous accompagner || Musique généraliste || L'assistance de notre guide locale pour gérer la table || Entrée en boîte pour tout le groupe dans l'un des meilleurs clubs,Amsterdam,"Accédez à la meilleure boîte d'Amsterdam grâce à notre Entrée en boîte VIP lors de votre enterrement de vie de garçon ! Nous vous accueillons dans le meilleur club d'Amsterdam, situé à proximité du canal de l'Amstel, pour une soirée de folie ! L'établissement est ouvert de 23h00 à 05h00 du matin. Il dispose de deux salles différentes : la salle principale située au rez-de-chaussée, qui offre une ambiance électro, et la salle de l'étage, pour une ambiance hip/hop et dancehall. Ce club est depuis des années déjà le club le plus réputé de la ville et vous assure une soirée des plus festives pour ",Bordeaux,"Offrez au futur marié une soirée mémorable avec une entrée en club dans l’un des meilleurs établissements de Bordeaux. Plongez dans l’ambiance nocturne bordelaise et profitez d’un cadre festif idéal pour célébrer un enterrement de vie de garçon comme il se doit. Chaque participant bénéficie d’une consommation incluse, pour bien lancer la soirée dès votre arrivée. Le club est ouvert du mercredi au samedi, de 23h30 à 5h, vous laissant tout le temps de profiter de la nuit jusqu’au bout. Une expérience parfaite pour commencer ou prolonger une soirée EVG placée sous le signe de la fête, de la musiq",Bratislava,"Réservez notre Boîte VIP & Bouteilles pour une soirée d'enterrement de vie de garçon à Bratislava sans aucune prise de tête ! Vous n'avez pas envie de passer votre soirée à galérer pour entrer en boîte ? Faites-nous confiance, on s'occupe de tout ! Notre guide locale vous rejoint à la sortie de votre activité précédente ou en centre ville pour vous conduire dans l'une des meilleures boîtes de Bratislava. Vous entrerez tels des rois sans avoir besoin de faire la queue. Aussi, une table en carré VIP vous attendra dès votre arrivée. Plus qu'à vous installer, et profiter ! Vous disposerez d'un bud"
Degustation Bieres,11,Amsterdam | Barcelone | Bratislava | Bruxelles | Bucarest | Budapest | Lisbonne | Madrid | Prague | Varsovie | Vilnius,82,"Guide locale || 8 personnes minimum || Table réservée pour votre groupe || 5 personnes minimum || Visite d'une brasserie locale de la vieille ville || Explications sur l'histoire de la bière, explication du processus de fabrication || Dégustation de 5 bières différentes || Blonde, Brune, Rousse... il y en a pour tous les goûts || Durée : 1h30 || Environ 45mn d'activité",Bratislava,"Si toi aussi tu es fan de bières, cette activité est faite pour toi ! Pendant votre week-end d'enterrement de vie de garçon à Bratislava, on vous propose de visiter une véritable Brasserie. Ici, il n'est pas question de boire simplement une bière qu'on pourrait prendre dans n'importe quel bar ! Mais bien de goûter des bières d'un véritable brasseur . Vous serez accueillis et guidés par notre brasseur, passionné de son métier. Il partagera son expérience et vous expliquera les techniques de brassage. Enfin vous passerez à la dégustation de plusieurs bières locales. Inclus dans le prix un bon dî",Bruxelles,"""Tu n'aimes pas la bière toi ? Faux, tu CROIS que tu n'aimes pas la bière !"" Un enterrement de vie de garçon sans bière ne sera jamais un vrai EVG, surtout pas en Belgique qui est le temple de la bière. Directement dans votre hébergement, vous recevrez une initiation à la ""blonde"" par un professionnel qui vous fera goûter 4 bières originales, en fonction de vos goûts, et vous en racontera tous les secrets. Zapper cette activité pour son EVG à Bruxelles serait une grave erreur une fois ! C'est l'activité parfaite après un Karting ! BON À SAVOIR : Nos experts peuvent se déplacer partout dans Bru",Bucarest,"Offrez-vous une dégustation de bières roumaines lors de votre enterrement de vie de garçon à Bucarest ! Tout groupe de potes qui se respecte s'adonne à des soirées bières de temps en temps. Nous vous proposons de perpétrer cette tradition jusque pendant votre week-end d'enterrement de vie de garçon, en vous accordant une petite pause sur vos activités sportives pour cette petite dégustation de bières artisanales. Notre guide locale vous accompagne dans notre bar brasserie partenaire, situé dans le centre de Bucarest. Un expert local vous accueillera pour vous en dire un peu plus sur l'histoire"
Crazy Night,9,Amsterdam | Berlin | Bratislava | Budapest | Cracovie | Ibiza | Prague | Varsovie | Vilnius,61,"Une entrée en boîte de nuit || Tournée des bars || Guide locale || Un tour des meilleurs bars de la ville selon vos préférences, et votre rythme || Une entrée en stripclub si vous le souhaitez || Un tour des meilleurs bars de la ville selon vos préférences || Visite de 3-4 bars || Présence de la guide pendant 3h || La guide s'adapte à vos envies, votre style, vos idées || 1 shot vous sera offert si vous consommez dans le bar",Berlin,"Voilà l'activité à ne surtout pas rater pour l'EVG à Berlin de votre ami ! Passez la meilleure des soirées en compagnie d'une de nos super guides jusqu'au bout de la night ! Alors, en quoi consiste la Crazy Night à Berlin ? C'est parti pour une tournée des bars, votre guide choisira les bars en fonction de vos goûts. On continue avec l'entrée en strip club, les strip clubs les plus sympas de la ville étant généralement assez excentrés, il vous faudra probablement prendre un taxi pour vous rendre sur place. Enfin, pour finir votre soirée, notre guide vous accompagnera dans une des meilleurs clu",Bratislava,"Voilà l'activité à ne surtout pas rater pour l'enterrement de vie de garçon de votre ami ! Passez la meilleure des soirées accompagnées d'une de nos super guides jusqu'au bout de la night ! Alors, en quoi consiste la Crazy Night à Bratislava ? On commence par une grosse tournée des bars. Notre guide choisira les différents bars en fonction de vos goûts. On continue avec l'entrée en strip club. Enfin, pour finir votre soirée, notre guide vous accompagnera dans une des meilleurs clubs de Bratislava. L'entrée est coupe file pour ne pas perdre une seconde ! En résumé la pendant vore EVG à Bratisla",Bratislava,"Voici une activité énorme pour faire la fête à Bratislava pendant l'EVG de votre ami ! La guide vous récupère selon votre planning et vous accompagne pendant cinq heures . En quoi ça consiste ? Votre soirée débute par une tournée des meilleurs bars de Bratislava. Notre guide choisira les différents bars en fonction de vos goûts et préférences. En bonus la bières est illimitées pendant une heure dans le premier bar . La soirée continue, avec l'entrée dans un en strip club . Enfin, la soirée se termine en club où l'entrée est coupe file pour ne pas perdre une minute. BON A SAVOIR : Si vous désir"
Croisiere Bateau,20,Albufeira | Amsterdam | Annecy | Barcelone | Berlin | Bordeaux | Bratislava | Budapest | Cracovie | Ibiza | Lyon | Majorque | Malte | Marbella | Milan | Montpellier | Paris | Porto | Prague | Varsovie,375,"Bière, vin et softs à volonté || Bateau privatisé pour le groupe || Une croisière d'une heure sur le Danube || Un skipper vous guide tout le long du trajet || Présence de votre guide locale anglophone || Croisière publique || Durée: 2 heures || Skipper || Dernier départ à 17h00 || Présence de votre guide locale",Amsterdam,"Le point de RDV est en centre-ville donc accessible à pieds ou en transport en commun. La guide vous accompagne jusqu'au lieu de départ. Le bateau est privatisé pour votre groupe, ainsi l'activité requiert un minimum de 8 participants pour profiter du meilleur prix. Avec des bières, vin et softs à volonté ainsi qu'une pizza par personne, vous avez là toutes les clés pour découvrir la ville de façon à la fois festive et détendue. Amsterdam regorge de canaux, la croisière est donc un des moyens les plus sympas de visiter ! Pour encore plus de kiff, testez la Croisière La Totale ! BON A SAVOIR : ",Amsterdam,"La Croisière Open Bar est tout bonnement l'activité EVG à faire à Amsterdam pour son enterrement de vie de garçon. Avec des bières, vin et softs à volonté, vous avez là toutes les clés pour découvrir la ville de façon à la fois festive et détendue. La Croisière Open Bar est le moyen parfait de commencer son EVG et de s'imprégner de l'ambiance de la ville. Discours du témoin, distribution du programme, la Croisière Open Baro vous permettra de poser les bases du week-end et constituera un excellent Before avant d'enchaîner pour des Ribs à volonté par exemple. Amsterdam regorge de canaux, la croi",Barcelone,"Préparez-vous à vivre une aventure en mer comme vous n’en avez jamais connu avec notre Croisière & Strip! Lors de votre EVG à Barcelone profitez de cette croisière de 2 heures sur la mer Méditerranéen. À bord, une serveuse charmante sera là pour vous accompagner, faire grimper la température et assurer une ambiance de feu. Au fil de la croisière, elle mettra l’ambiance avec ses danses, ses jeux et ses cocktails rafraîchissants servis avec le sourire. Et pour clore cette escapade en beauté : un show privé de 12 minutes à l’intérieur du voilier… intense, sensuel, et totalement inoubliable. Une e"
Car Smash,5,Amsterdam | Bratislava | Budapest | Cracovie | Prague,44,"Transfert A/R en minibus privatisé || Une ou plusieurs voitures intactes fournies dans une casse à proximité d'Amsterdam || Outils de démolition fournis : Masses, marteaux, barres de fer, clubs de golf etc... || 1 Instructeur local || Gants et lunettes de protection || Possibilité d'ajouter un transfert A/R en minibus privatisé (en supplément) || Guide locale || Le nombre de voitures dépend de la taille de votre groupe (1 par tranche de 10 personnes) || Le nombre de voitures dépend de la taille de votre groupe (1 par tranche de 9 personnes) || Sexy Car Wash d'une jolie jeune femme en bikini avant le début de la démolition",Amsterdam,"Le Car Smash est l'activité la plus barrée qu'il vous sera donnée de faire pour un EVG à Amsterdam. Vos rêves deviennent réalité puisque durant le Car Smash vous serez en mesure littéralement massacrer une voiture dans une casse et la rendre à l'état d'épave grâce à toutes sortes ""d'armes"" : masses, marteaux, battes de baseball etc... On sent les yeux des gros bourrins s'illuminer :) Vous disposerez d'une voiture pour 9 personnes lors du Car Smash, ce qui est amplement suffisant on vous assure. Car ne croyez pas que le Car Smash est aussi simple que dans Les Visiteurs avec la scène de la voitu",Amsterdam,"C'est LA nouvelle activité qui fait fureur à Amsterdam : testez le Car Smash Bikini lors de votre enterrement de vie de garçon ! Vous ne connaissez pas le concept du Car Smash ? Le jeu est très simple. Répartis par équipes de 9 personnes, vous disposerez d'une voiture destinée à finir broyée. Et pour aider à sa démolition, vous pourrez, armés d'outils en tous genres (masses, marteaux, barres de fer, pieds de biche...), vous en donner à cœur joie pour la réduire en miette ! Cerise sur le gâteau avec le Car Smash Bikini, une jeune femme vêtue de rien d'autre qu'un petit maillot de bain vous accu",Bratislava,"Venez faire l'activité ultime pour se défouler pendant votre enterrement de vie de garçon à Bratislava... Le car smash ! Chers amis de la poésie, passez ici votre chemin, car ici point de vers ne sont écris... seul vos muscles parleront ! Le principe est très subtil, vous avez rendez-vous avec une voiture intacte, vos cadeaux pour elle ? Des masses, marteaux et barres de fer ! Votre but ? Tout mettre en oeuvre pour venir à bout du véhicule et la réduire en miettes ! Votre guide vous accompagne sur le lieu de l'activité en taxi ou tram. Le Car smash est une activité qui nécessite des conditions"
Corrida,1,Madrid,19,"Déjeuner inclus (BBQ ou paella) || Apéro & tapas || Visite du ranch || Balade pour voir les jeunes taureaux || Une introduction à la corrida || Guide locale || Briefing de sécurité || Instructeur || Corrida avec plusieurs jeunes taureaux || Bières, vin et soft à volonté durant le repas",Madrid,"Nous préconisons cette activité en tout début d'après-midi afin de pouvoir profiter du déjeuner offert sur place. Cette activité s'effectue généralement le samedi mais quelques vendredis et dimanches sont possibles.Étantt donné qu'il s'agit de très jeunes taureaux et vaches, cette activité n'a pas le caractère dangereux quepossèdente d'autres traditions qui se réalisent avec des animaux adultes. Cependant il est recommandé de ne pas participer en état d'ébriété étant donné qu'il existe un risque de se faire quelques bleus ou de tomber et de se tordre la cheville! ce qui serait de mauvaise augu",,,,
Airsoft Battle,10,Bratislava | Bucarest | Budapest | Cracovie | Lyon | Madrid | Porto | Prague | Varsovie | Vilnius,96,Différents scénarios d'assaut proposés durant le jeu || 1 bière par personne || Transfert A/R en minibus privatisé || Guide locale anglophone || Assistance de votre guide locale || 2 heures de jeu || Minimum 8 personnes || Équipement complet || Équipement || 2 heures d'activité,Bratislava,"Rien de mieux qu'un Airsoft pour un EVG à Bratislava qui restera dans les mémoires ! Vraiment atypique, l'Airsoft est une mise en situation de simulation de guerre qui vous fera sentir comme de véritables soldats des forces spéciales. L'avantage de l'Airsoft, c'est qu'il ne laisse pas de bleus. L'activité dure environ deux heures, vous jouerez plusieurs parties sur un terrain privatisé spécialement pour votre groupe, avec différents scénarios proposés et au total 400 billes à tirer (possibilité de recharger sur place si vous êtes à cours de billes, en supplément). Si vous en avez assez des bil",Bucarest,"Immersion totale dans une réplique de champ de bataille avec matériel militaire ""replica"" et instructeurs qualifiés. L'effet réaliste du Airsoft Battle est saisissant : les professionnels de l'Armée utilise cet exercice pour leur entrainement préparatif avant de se rendre en zone de guerre....! Lors de votre activité Airsoft Battle, différents scénarii vous seront proposés, vous devrez mettre en place des stratégies pour vaincre l'équipe rivale dans les conditions d'une opération militaire réelle. Le transfert aller-retour est inclus en minibus privatisé (durée env. 1h). La guide et le chauffe",Budapest,"Pour lancer parfaitement votre enterrement de vie de garçon à Budapest, rien de tel qu'une petite partie d'Airsoft ! Totalement atypique, cette activité vous fera sentir comme de vrais héros. L'avantage de l'airsoft, c'est qu'il ne laisse pas de bleus. Notre instructeur, un ancien Royal Marine de l'armée britannique, vous enseignera différentes techniques d'assaut. C'est une vraie simulation de guerre, dans un lieu entièrement construit pour vous procurer des sensations fortes. L'Airsoft pendant un EVG à Budapest, c'est clairement une valeur sûre ! Vous profiterez sur place d'une partie d'envi"
